,Asset_001,Asset_002,Asset_003,Asset_004,Asset_005,Asset_006,Asset_007,Asset_008,Asset_009,Asset_010,Asset_011,Asset_012,Asset_013,Asset_014,Asset_015,Asset_016,Asset_017,Asset_018,Asset_019,Asset_020,Asset_021,Asset_022,Asset_023,Asset_024
2010-01-01,-0.024037798570349007,-0.023491818862020782,0.0018522993949350317,-0.01984424254885926,0.03809755492276752,0.0248011918112373,-0.002762265588327626,-0.005521545843739334,-0.021963113079448104,-0.022175677624096852,-0.01659847564426756,0.004031286253234319,-0.0015151892437492665,-0.0011067771164818465,0.005049097255124123,-0.011664166393943395,0.00458111401085309,-0.0483895253759636,-0.0045343814219548275,-0.03232864222282874,0.011397118607827635,-0.010939829915812984,0.023749676535653484,0.035534469970192994
2010-01-08,-0.021796553868223496,-0.05047771901608499,0.0032170307602964725,-0.01397169203941273,0.02563070072313951,0.05108131553669369,0.01788997842263889,0.016874354879669113,-0.004303770229945634,-0.040949140580814385,-0.003671955126177769,0.01817814823047723,-0.009794553522224483,-0.01748490476523111,-0.006796780297619405,-0.030030450573322803,0.0037305044766941567,-0.0404911584472004,0.0056931921380474655,-0.025188198945489473,0.010995396605134567,-0.011042848193798775,0.04672138778873073,0.010395790516776231
2010-01-15,0.011238423669949604,-0.024034716099809377,0.006768103963616396,-0.0054236163215227945,0.011682788897808112,0.01214169291514681,0.03557120503608013,-0.008707348913293231,0.008946895141137619,-0.019730372271840504,-0.000852005630487336,-0.01100648986977504,0.0028220283608193586,0.008583811625012906,0.006716616114953584,-0.018969501306989843,-0.011685961050014324,-0.011774503520188134,-0.016789286740213117,-0.02274851832384341,0.005765096508397937,0.016457791943203445,0.050291167835606665,0.0019278852160409185
2010-01-22,0.009326120653818232,-0.01627603068179308,-0.0018177352396455814,0.001086960521720957,0.008949804037480455,0.015316222014818389,0.007001784638701086,-0.016151601405710408,-0.023025858897322914,-0.0031735396486587165,-0.007004423138479071,-0.004208623356719631,-0.0033939659462051295,0.0046274963913869194,0.005559693302568485,-0.01902822857585037,0.0146226295938635,0.0090458308837789,0.006818740665046176,0.005292299959367738,0.019110654415032367,0.010842609449186805,0.017046564936503583,0.01656793575480499
2010-01-29,0.006722441006000818,-0.013922481246364778,0.008757274082365991,-0.0166818855562099,-0.010103637864054424,0.015274534079044307,0.010950658729675164,0.017100815164012947,-0.003168034742001883,-0.013724965970310886,-0.002114013685382474,0.000940776693114454,0.0012023729887755826,0.01300330866214832,-0.003618020190690472,0.0034828248953879784,-0.011522900957089903,0.005830979592982359,0.00028736835054810013,-0.009855078388822044,-0.003161126505551743,-0.0015034567360920695,-0.0021859777180460787,0.0209298656047289
2010-02-05,0.006025756890369499,-0.00331363860825937,-0.02194582737685718,-0.01313229405710256,-0.011227527010437634,-0.016434737732153926,0.020521692977269166,-0.009108562615132423,0.017857042822245442,0.005461763493183249,0.008840397417249186,-0.0046975009147301695,0.0035978084361092256,0.016755957997158503,-0.022369735636887482,-0.027046984656740224,-0.0033372387334751038,0.007521384997421011,0.010289709060316593,-5.566988949336216e-05,-0.009115914715013069,0.01969394255791661,0.018803456372042907,-0.004027934324210909
2010-02-12,0.05474689442032306,0.04582213222342758,0.004512561362270267,0.009379644122730868,-0.04558692836273572,-0.060590747191664594,0.004211228473881402,-0.05570847705396882,0.0016380157385690111,0.02740144296165343,0.03334130586723305,-0.02245567267335863,0.0022956174241900475,-0.01408949074217395,0.0009713714714839131,0.0444309961013665,0.03292811599845813,0.04333059187639125,0.0006213554761720268,-0.01917306137486298,-0.04823000449517578,0.03085279203497492,-0.01163289580473578,-0.04423540726075421
2010-02-19,-0.006085102619453799,-0.01561654392771551,0.008688155551463026,-0.0019569505892127314,-0.009866616184757978,-0.029308515802804795,0.02219740964466859,-0.024690756797323014,0.011402849646147958,0.006749070780817584,0.00038104106563523893,-0.010709079638392743,0.010966225045540547,-0.0023774639112426194,0.011014379913086339,0.008614806235500694,0.018876642050384293,0.009747370916607448,0.01356376818978594,0.009046304048470273,0.015112119633997442,0.00045702740815181317,0.00552414139343446,0.0072186506729168525
2010-02-26,-0.027209098794178644,-0.07378342025459592,-0.001768336556124836,-0.010267106936537665,0.013114636989962174,0.023667453332212925,0.03248494711911999,-0.015687409072540244,-0.020991239324228556,0.000412174159996382,0.003161127997110995,0.014856574300327264,-0.01183473604338493,-0.0218114314531161,0.008499547678782048,-0.06901068602262464,-0.012793704468620479,-0.04206228752297273,-0.021815006731292167,-0.04070515641811917,0.0227878180065858,0.0007718679028681122,0.05256941488806529,0.0251250569783949
2010-03-05,-0.007787863978867372,-0.014113555215336157,-0.0006363223431528342,0.013019251486115425,0.012179972687739345,0.027347056664011115,0.0008921873140384923,0.008851354843178318,-0.01958766453899412,-0.02672008266539047,-0.017781718657932554,0.012358163864183994,-0.01789195735940212,0.007572132307453426,-0.004160790548076282,0.011520697773395486,0.01177128699056364,-0.002587402640553701,-0.01613863850586195,0.031138893217751065,0.004209109066142521,-0.0040799193121843404,-0.010934043864782136,0.010469358107110267
